"Threat name: GandCrab.exe 
Threat ID: 1305271162696709733 
Mitigation name: remediate 
Mitigation Status: success"
Timestamp (UTC),Path,Registry Key,Status
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs5\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs4\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs4\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs3\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs3\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs2\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs14\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs14\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs13\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs13\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs12\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs12\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs11\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs11\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs10\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs10\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs1\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs1\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs0\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs0\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Desktop\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Desktop\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Local\Microsoft\Windows\INetCookies\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Protect\S-1-5-21-4957925-3045688564-945866353-1195\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Contacts\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Contacts\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\CTLs\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\CTLs\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\CRLs\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Adobe\Flash Player\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\CRLs\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\SystemCertificates\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Spelling\en-US\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Spelling\en-US\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Spelling\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.316+00:00,\Device\HarddiskVolume2\$77074816EC77462F8BA575BE685B2DB8\BAD8679931974E14B74133B02E1848A5\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.316+00:00,\Device\HarddiskVolume2\$77074816EC77462F8BA575BE685B2DB8\5ADE973C47F64C2C83ED61694B9A9CB8\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Spelling\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.253+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Protect\S-1-5-21-4957925-3045688564-945866353-1195\KRAB-DECRYPT.txt,,success
